;CNT;CNTSTUID;DS269Q01C;DS269Q03C;CS269Q04S;CS408Q01S;DS408Q03C;CS408Q04S;CS408Q05S;CS466Q01S;CS466Q05S;CS466Q07S;DS519Q01C;CS519Q02S;DS519Q03C;CS521Q02S;CS521Q06S;CS527Q01S;CS527Q03S;CS527Q04S
102;Brazil;7623163.0;-1.0;-1.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;-1.0;1.0;-1.0;0.0;1.0;0.0;0.0;0.0
103;Brazil;7607914.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;-1.0;-1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
104;Brazil;7625559.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;-1.0;-1.0;-1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0
105;Brazil;7629257.0;0.0;-1.0;0.0;0.0;-1.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0
106;Brazil;7605092.0;-1.0;-1.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;-1.0;1.0;1.0;0.0;0.0;0.0
107;Brazil;7600095.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;-1.0;-1.0;-1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0
108;Brazil;7617793.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;-1.0;-1.0;-1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;-1.0
109;Brazil;7608650.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0
110;Brazil;7602992.0;-1.0;-1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;-1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0
111;Brazil;7610093.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;-1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
112;Brazil;7627607.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;-1.0;-1.0;0.0;0.0;-1.0;0.0;1.0;0.0;0.0;0.0
113;Brazil;7612492.0;-1.0;-1.0;0.0;1.0;-1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;-1.0;0.0;1.0;0.0;0.0;0.0
114;Brazil;7610303.0;0.0;-1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;-1.0;1.0;-1.0;0.0;1.0;0.0;0.0;1.0
115;Brazil;7626198.0;-1.0;0.0;0.0;1.0;-1.0;0.0;1.0;0.0;0.0;0.0;-1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0
116;Brazil;7624811.0;0.0;-1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0
117;Brazil;7623457.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;-1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0
118;Brazil;7616689.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;-1.0;-1.0;-1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
119;Brazil;7600552.0;0.0;0.0;1.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0
120;Brazil;7618571.0;-1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;-1.0;0.0;0.0;-1.0;0.0;-1.0
121;Brazil;7609541.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;-1.0;0.0;0.0;0.0;-1.0;0.0
122;Brazil;7625926.0;-1.0;-1.0;0.0;0.0;-1.0;0.0;0.0;0.0;1.0;0.0;-1.0;0.0;-1.0;1.0;1.0;0.0;0.0;0.0
123;Brazil;7616669.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;-1.0;-1.0;0.0;-1.0;0.0;1.0;0.0;1.0;-1.0
124;Brazil;7621306.0;1.0;-1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;-1.0;0.0;-1.0;0.0;1.0;0.0;1.0;1.0
125;Brazil;7601058.0;-1.0;-1.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;-1.0;0.0;0.0;0.0;1.0;0.0
126;Brazil;7606744.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;-1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0
127;Brazil;7622094.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0
128;Brazil;7624389.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;-1.0;0.0;1.0;0.0;0.0;1.0
129;Brazil;7606298.0;-1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;-1.0;0.0;1.0;0.0;1.0;0.0
130;Brazil;7609458.0;-1.0;-1.0;0.0;0.0;-1.0;0.0;1.0;0.0;1.0;0.0;-1.0;1.0;-1.0;1.0;1.0;0.0;0.0;1.0
131;Brazil;7620063.0;0.0;0.0;0.0;1.0;-1.0;0.0;0.0;1.0;0.0;0.0;-1.0;1.0;-1.0;0.0;0.0;0.0;1.0;0.0
132;Brazil;7608762.0;-1.0;-1.0;0.0;0.0;-1.0;1.0;0.0;0.0;0.0;1.0;-1.0;1.0;-1.0;0.0;0.0;0.0;0.0;1.0
133;Brazil;7620842.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0
134;Brazil;7603770.0;-1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;-1.0;0.0;0.0;0.0;0.0;1.0
135;Brazil;7628204.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;-1.0;-1.0;1.0;0.0;0.0;1.0;1.0;0.0;-1.0;-1.0
136;Brazil;7604347.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;-1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
137;Brazil;7618294.0;-1.0;-1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;-1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
138;Brazil;7602021.0;0.0;-1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0
139;Brazil;7613784.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;-1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0
140;Brazil;7628080.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
141;Brazil;7611654.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;1.0;0.0;0.0;0.0;0.0
142;Brazil;7612271.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;-1.0;-1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0
143;Brazil;7616156.0;-1.0;-1.0;-1.0;-1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0
144;Brazil;7611798.0;0.0;0.0;1.0;0.0;-1.0;0.0;1.0;1.0;0.0;0.0;-1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0
145;Brazil;7612500.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0
146;Brazil;7630161.0;0.0;-1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;-1.0;0.0;1.0;0.0;0.0;0.0
147;Brazil;7626921.0;0.0;-1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;-1.0;1.0;-1.0;0.0;1.0;0.0;0.0;0.0
148;Brazil;7626282.0;-1.0;0.0;0.0;1.0;-1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;-1.0;0.0;0.0;0.0;0.0;0.0
149;Brazil;7618203.0;-1.0;-1.0;0.0;0.0;-1.0;0.0;0.0;1.0;1.0;0.0;-1.0;0.0;-1.0;1.0;0.0;0.0;0.0;0.0
150;Brazil;7603083.0;-1.0;-1.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;-1.0;1.0;0.0;0.0;0.0;0.0
151;Brazil;7623349.0;0.0;-1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;-1.0;0.0;1.0;0.0;1.0;1.0
